Unnamed: 0,province,city,date,price,compare,forecast
2011-01-31,上海,上海,2011-01-31,23058.0,2.52%↑,0.0
2011-02-28,上海,上海,2011-02-28,23421.0,1.57%↑,38430.0
2011-03-31,上海,上海,2011-03-31,23548.0,0.54%↑,26118.94902943879
2011-04-30,上海,上海,2011-04-30,23570.0,0.09%↑,24965.936759411703
2011-05-31,上海,上海,2011-05-31,23679.0,0.46%↑,24261.927085037325
2011-06-30,上海,上海,2011-06-30,23849.0,0.72%↑,23870.921295519347
2011-07-31,上海,上海,2011-07-31,23940.0,0.38%↑,24067.08643885138
2011-08-31,上海,上海,2011-08-31,23950.0,0.04%↑,24085.876040264222
2011-09-30,上海,上海,2011-09-30,23883.0,0.28%↓,24041.675951115943
2011-10-31,上海,上海,2011-10-31,23720.0,0.68%↓,23932.109162232216
2011-11-30,上海,上海,2011-11-30,23288.0,1.82%↓,23707.675283948043
2011-12-31,上海,上海,2011-12-31,22665.0,2.68%↓,23137.77161265934
2012-01-31,上海,上海,2012-01-31,22082.0,--,22403.998405048686
2012-02-29,上海,上海,2012-02-29,21804.0,1.26%↓,21802.368258976454
2012-03-31,上海,上海,2012-03-31,22063.0,1.19%↑,21607.629517724563
2012-04-30,上海,上海,2012-04-30,22160.0,0.44%↑,22058.690985452406
2012-05-31,上海,上海,2012-05-31,22198.0,0.17%↑,22085.809802164207
2012-06-30,上海,上海,2012-06-30,22348.0,0.68%↑,22116.51110521308
2012-07-31,上海,上海,2012-07-31,22516.0,0.75%↑,22352.061094729906
2012-08-31,上海,上海,2012-08-31,22663.0,0.65%↑,22534.645428524575
2012-09-30,上海,上海,2012-09-30,22833.0,0.75%↑,22687.98945722855
2012-10-31,上海,上海,2012-10-31,22929.0,0.42%↑,22889.102234445563
2012-11-30,上海,上海,2012-11-30,23105.0,0.77%↑,22968.72091978808
2012-12-31,上海,上海,2012-12-31,23428.0,1.4%↑,23187.768815491392
2013-01-31,上海,上海,2013-01-31,23920.0,2.1%↑,23583.864262444433
2013-02-28,上海,上海,2013-02-28,24514.0,2.48%↑,24154.046150031943
2013-03-31,上海,上海,2013-03-31,25690.0,4.8%↑,24812.32737825288
2013-04-30,上海,上海,2013-04-30,26493.0,3.13%↑,26257.77404712012
