"province","city","date","price","compare"
"一线城市","北京","2020-04-30","58758","0.55%↑"
"一线城市","北京","2020-03-31","58435","0.49%↑"
"一线城市","北京","2020-02-29","58150","0.49%↓"
"一线城市","北京","2020-01-31","58439","0.22%↓"
"一线城市","重庆","2011-12-31","6583","1.11%↓"
"一线城市","重庆","2011-11-30","6657","1.06%↓"
"一线城市","重庆","2011-10-31","6728","0.66%↓"
"一线城市","重庆","2011-09-30","6773","0.56%↓"
"一线城市","重庆","2011-08-31","6811","0.44%↓"
"一线城市","重庆","2011-07-31","6841","0.03%↑"
"一线城市","重庆","2011-06-30","6839","0.35%↑"
"一线城市","重庆","2011-05-31","6815","0.53%↑"
"一线城市","重庆","2011-04-30","6779","2.85%↑"
"一线城市","重庆","2011-03-31","6591","4.85%↑"
"一线城市","重庆","2011-02-28","6286","1.6%↑"
"一线城市","重庆","2011-01-31","6187","2.84%↑"
"一线城市","天津","2011-12-31","12732","1.7%↓"
"一线城市","天津","2011-11-30","12952","1%↓"
"一线城市","天津","2011-10-31","13083","1.25%↓"
"一线城市","天津","2011-09-30","13249","0.61%↓"
"一线城市","天津","2011-08-31","13330","0.06%↑"
"一线城市","天津","2011-07-31","13322","0.08%↑"
"一线城市","天津","2011-06-30","13311","0.3%↑"
"一线城市","天津","2011-05-31","13271","0.31%↑"
"一线城市","天津","2011-04-30","13230","1.27%↑"
"一线城市","天津","2011-03-31","13064","2.42%↑"
"一线城市","天津","2011-02-28","12755","2.01%↑"
"一线城市","天津","2011-01-31","12504","0.87%↑"
"一线城市","上海","2011-12-31","22665","2.68%↓"
"一线城市","上海","2011-11-30","23288","1.82%↓"
"一线城市","上海","2011-10-31","23720","0.68%↓"
"一线城市","上海","2011-09-30","23883","0.28%↓"
"一线城市","上海","2011-08-31","23950","0.04%↑"
"一线城市","上海","2011-07-31","23940","0.38%↑"
"一线城市","上海","2011-06-30","23849","0.72%↑"
"一线城市","上海","2011-05-31","23679","0.46%↑"
"一线城市","上海","2011-04-30","23570","0.09%↑"
"一线城市","上海","2011-03-31","23548","0.54%↑"
"一线城市","上海","2011-02-28","23421","1.57%↑"
"一线城市","上海","2011-01-31","23058","2.52%↑"
"一线城市","北京","2011-12-31","25166","1.69%↓"
"一线城市","北京","2011-11-30","25599","1.41%↓"
"一线城市","北京","2011-10-31","25964","0.54%↓"
"一线城市","北京","2011-09-30","26104","0.23%↓"
"一线城市","北京","2011-08-31","26165","0.75%↓"
"一线城市","北京","2011-07-31","26363","0.64%↓"
"一线城市","北京","2011-06-30","26533","0.17%↓"
"一线城市","北京","2011-05-31","26578","0.2%↓"
"一线城市","北京","2011-04-30","26630","0.3%↑"
"一线城市","北京","2011-03-31","26550","2.35%↑"
"一线城市","北京","2011-02-28","25940","2.41%↑"
"一线城市","北京","2011-01-31","25329","2.41%↑"
"一线城市","重庆","2012-12-31","6550","0.23%↑"
"一线城市","重庆","2012-11-30","6535","0.57%↑"
"一线城市","重庆","2012-10-31","6498","0.34%↑"
"一线城市","重庆","2012-09-30","6476","0.03%↑"
"一线城市","重庆","2012-08-31","6474","0.15%↑"
"一线城市","重庆","2012-07-31","6464","0.19%↑"
"一线城市","重庆","2012-06-30","6452","0.08%↓"
"一线城市","重庆","2012-05-31","6457","0.26%↓"
"一线城市","重庆","2012-04-30","6474","0.17%↑"
"一线城市","重庆","2012-03-31","6463","0.28%↑"
"一线城市","重庆","2012-02-29","6445","0.91%↓"
"一线城市","重庆","2012-01-31","6504","--"
"一线城市","重庆","2013-12-31","6896","--"
