province,city,updateTime,confirmedCount,suspectedCount,curedCount,deadCount,country,continent
湖北省,武汉,2020-02-26,47441,0.0,11826,2085,中国,亚洲
湖北省,黄石,2020-02-26,1011,0.0,592,32,中国,亚洲
湖北省,孝感,2020-02-26,3501,0.0,1388,113,中国,亚洲
湖北省,神农架林区,2020-02-26,11,0.0,10,0,中国,亚洲
湖北省,恩施州,2020-02-26,251,0.0,158,4,中国,亚洲
湖北省,天门,2020-02-26,496,0.0,286,13,中国,亚洲
湖北省,仙桃,2020-02-26,575,0.0,337,19,中国,亚洲
湖北省,咸宁,2020-02-26,836,0.0,567,11,中国,亚洲
湖北省,十堰,2020-02-26,671,0.0,348,3,中国,亚洲
湖北省,潜江,2020-02-26,196,0.0,94,9,中国,亚洲
湖北省,荆门,2020-02-26,922,0.0,469,37,中国,亚洲
湖北省,宜昌,2020-02-26,927,0.0,362,30,中国,亚洲
湖北省,随州,2020-02-26,1306,0.0,652,37,中国,亚洲
湖北省,荆州,2020-02-26,1577,0.0,822,44,中国,亚洲
湖北省,鄂州,2020-02-26,1387,0.0,543,41,中国,亚洲
湖北省,黄冈,2020-02-26,2904,0.0,1852,107,中国,亚洲
湖北省,襄阳,2020-02-26,1175,0.0,653,30,中国,亚洲
香港,,2020-02-26,89,0.0,24,2,中国,亚洲
山东省,枣庄,2020-02-26,24,0.0,22,0,中国,亚洲
海南省,昌江,2020-02-26,7,0.0,3,0,中国,亚洲
海南省,海口,2020-02-26,39,0.0,28,0,中国,亚洲
海南省,三亚,2020-02-26,54,0.0,42,1,中国,亚洲
山东省,菏泽,2020-02-26,18,0.0,17,0,中国,亚洲
山东省,聊城,2020-02-26,38,0.0,30,0,中国,亚洲
山东省,滨州,2020-02-26,15,0.0,12,0,中国,亚洲
山东省,临沂,2020-02-26,49,0.0,45,0,中国,亚洲
山东省,日照,2020-02-26,16,0.0,11,0,中国,亚洲
海南省,万宁,2020-02-26,13,0.0,11,0,中国,亚洲
海南省,儋州,2020-02-26,15,0.0,12,1,中国,亚洲
海南省,琼中,2020-02-26,1,0.0,1,0,中国,亚洲
海南省,澄迈,2020-02-26,9,0.0,6,1,中国,亚洲
海南省,保亭,2020-02-26,3,0.0,1,0,中国,亚洲
海南省,琼海,2020-02-26,6,0.0,4,1,中国,亚洲
海南省,东方,2020-02-26,3,0.0,2,0,中国,亚洲
海南省,临高,2020-02-26,6,0.0,6,0,中国,亚洲
海南省,陵水,2020-02-26,4,0.0,4,0,中国,亚洲
海南省,定安,2020-02-26,3,0.0,2,1,中国,亚洲
海南省,乐东,2020-02-26,2,0.0,2,0,中国,亚洲
山东省,淄博,2020-02-26,30,0.0,18,1,中国,亚洲
海南省,待明确地区,2020-02-26,0,0.0,2,0,中国,亚洲
山东省,泰安,2020-02-26,35,0.0,23,2,中国,亚洲
海南省,文昌,2020-02-26,3,0.0,3,0,中国,亚洲
山东省,威海,2020-02-26,38,0.0,27,0,中国,亚洲
山东省,德州,2020-02-26,37,0.0,15,2,中国,亚洲
山东省,济宁,2020-02-26,258,0.0,43,0,中国,亚洲
山东省,潍坊,2020-02-26,44,0.0,24,0,中国,亚洲
山东省,烟台,2020-02-26,47,0.0,26,0,中国,亚洲
